"side","fixture","phase","round","order","exit_code","valid","elapsed_usec","trace_sha256","counter_source","query_calls","parameter_build_count","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","scratch_parameter_count","terminal_hits","health_match_count","log"
"before","projectile","measured","15","1","0","True","133111","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_15.log"
"after","projectile","measured","15","2","0","True","123686","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_15.log"
"before","projectile","measured","16","2","0","True","133268","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_16.log"
"after","projectile","measured","16","1","0","True","119807","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_16.log"
"before","projectile","measured","17","1","0","True","136429","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_17.log"
"after","projectile","measured","17","2","0","True","121001","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_17.log"
"before","projectile","measured","18","2","0","True","134863","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_18.log"
"after","projectile","measured","18","1","0","True","123852","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_18.log"
"before","projectile","measured","19","1","0","True","141688","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_19.log"
"after","projectile","measured","19","2","0","True","120215","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_19.log"
