col,row,left_sig,right_sig,top_sig,bottom_sig
8,7,5b56028537f7636a,1a8ba545f9dd071c,b67a52e865456ff2,bd6c78bff83497bb
9,7,b3e5bfd5fe109a02,ccad63f75ad89ad0,716c6f588a47c47c,388bdabb00a1c3d5
10,7,32c2a90bf0f81395,3f0bca82b61571ec,716c6f588a47c47c,2e08ac0ad34bbf6c
11,7,452b7b49e94ce248,69590b36db1167e3,7ab1fe5cca75a51d,0f0a8beeb00aeb10
12,7,0aea06949ee045d6,da2e835b4355ff7d,d84a1a97f8f50f22,7d791e7f1789d9bd
13,7,452b7b49e94ce248,69590b36db1167e3,7ab1fe5cca75a51d,0f0a8beeb00aeb10
14,7,2ca24003bb6df178,a85b7089ec924322,ce0f90652bb54c1d,0f0a8beeb00aeb10
15,7,d916ba9187c705c8,a85b7089ec924322,6ab00c353f825ae1,f8a9e729c29a2258
0,8,80546a68cd492e38,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
1,8,40c9af83dda5a4f4,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
2,8,40c9af83dda5a4f4,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
3,8,40c9af83dda5a4f4,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
4,8,40c9af83dda5a4f4,7407297760785ef1,38723a2e5e8a17aa,38723a2e5e8a17aa
5,8,faf87530fe7f6ef7,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
6,8,40c9af83dda5a4f4,b18a6bc5598808ae,38723a2e5e8a17aa,38723a2e5e8a17aa
7,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,2c323af119dcef2c
8,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,388b02e40215c6fd
9,8,38723a2e5e8a17aa,38723a2e5e8a17aa,6d1b2156c23f2953,38723a2e5e8a17aa
10,8,38723a2e5e8a17aa,38723a2e5e8a17aa,6d1b2156c23f2953,38723a2e5e8a17aa
11,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
13,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
14,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
1,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
2,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
3,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
4,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
5,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
6,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
7,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
8,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
9,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
10,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
11,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
13,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
14,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,9,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
