col,row,name,blank_manifest,alpha_bbox_local,visible_pixels,partial_alpha_pixels,touch_left,touch_right,touch_top,touch_bottom,outside_cell_pixels
13,9,blank_platform_reserved_9_13,yes,None,0,0,false,false,false,false,0
14,9,blank_platform_reserved_9_14,yes,None,0,0,false,false,false,false,0
15,9,blank_platform_reserved_9_15,yes,None,0,0,false,false,false,false,0
0,10,blank_platform_reserved_10_0,yes,None,0,0,false,false,false,false,0
1,10,blank_platform_reserved_10_1,yes,None,0,0,false,false,false,false,0
2,10,blank_platform_reserved_10_2,yes,None,0,0,false,false,false,false,0
3,10,blank_platform_reserved_10_3,yes,None,0,0,false,false,false,false,0
4,10,blank_platform_reserved_10_4,yes,None,0,0,false,false,false,false,0
5,10,blank_platform_reserved_10_5,yes,None,0,0,false,false,false,false,0
6,10,blank_platform_reserved_10_6,yes,None,0,0,false,false,false,false,0
7,10,blank_platform_reserved_10_7,yes,None,0,0,false,false,false,false,0
8,10,blank_platform_reserved_10_8,yes,None,0,0,false,false,false,false,0
9,10,blank_platform_reserved_10_9,yes,None,0,0,false,false,false,false,0
10,10,blank_platform_reserved_10_10,yes,None,0,0,false,false,false,false,0
11,10,blank_platform_reserved_10_11,yes,None,0,0,false,false,false,false,0
12,10,blank_platform_reserved_10_12,yes,None,0,0,false,false,false,false,0
13,10,blank_platform_reserved_10_13,yes,None,0,0,false,false,false,false,0
14,10,blank_platform_reserved_10_14,yes,None,0,0,false,false,false,false,0
15,10,blank_platform_reserved_10_15,yes,None,0,0,false,false,false,false,0
0,11,foreground_tidal_occluder_00,no,"(0, 0, 32, 32)",459,0,true,true,true,true,0
1,11,foreground_tidal_occluder_01,no,"(0, 0, 32, 32)",1022,0,true,true,true,true,0
2,11,foreground_tidal_occluder_02,no,"(0, 6, 32, 32)",368,0,true,true,false,true,0
3,11,foreground_tidal_occluder_03,no,"(12, 0, 21, 31)",105,0,false,false,true,false,0
4,11,foreground_tidal_occluder_04,no,"(0, 19, 32, 32)",244,0,true,true,false,true,0
5,11,foreground_tidal_occluder_05,no,"(0, 27, 32, 32)",160,0,true,true,false,true,0
6,11,foreground_tidal_occluder_06,no,"(0, 0, 12, 32)",278,0,true,false,true,true,0
7,11,foreground_tidal_occluder_07,no,"(20, 0, 32, 32)",278,0,false,true,true,true,0
8,11,foreground_tidal_occluder_08,no,"(0, 0, 32, 32)",459,0,true,true,true,true,0
9,11,foreground_tidal_occluder_09,no,"(0, 0, 32, 32)",1022,0,true,true,true,true,0
10,11,foreground_tidal_occluder_10,no,"(0, 6, 32, 32)",368,0,true,true,false,true,0
11,11,foreground_tidal_occluder_11,no,"(12, 0, 21, 31)",105,0,false,false,true,false,0
12,11,foreground_tidal_occluder_12,no,"(0, 19, 32, 32)",244,0,true,true,false,true,0
